Name,Price,Link,Image,Rating,Reviews
Might Cinema Liquid Lipstick 4 In 1 In One Package From Might Cinema (201),EGP 111.99,https://www.jumia.com.eg/might-cinema-liquid-lipstick-4-in-1-in-one-package-from-might-cinema-201-105711712.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/7117501/1.jpg?5838,5 out of 5,
Luna Lip Gloss New No.48,EGP 99.00,https://www.jumia.com.eg/luna-lip-gloss-new-no.48-131512678.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/6215131/1.jpg?6307,5 out of 5,
Cybele Rouge Liquid - No. 4 Candy Rose,EGP 199.00,https://www.jumia.com.eg/shine-appeal-lip-no.-4-candy-rose-cybele-mpg1153284.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/757506/1.jpg?8572,4 out of 5,
MY-M Advance Tinted Lip Glaze - Silk Pink (300),EGP 255.00,https://www.jumia.com.eg/my-m-advance-tinted-lip-glaze-silk-pink-300-133949426.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/4949331/1.jpg?0977,,
Avon Nourishing Lip Oil BLOSSOM - Hydrating Lip Treatment,EGP 225.00,https://www.jumia.com.eg/avon-nourishing-lip-oil-blossom-hydrating-lip-treatment-130772705.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/7277031/1.jpg?1681,,
Essence Hydra Kiss Lip Oil 06 Cranberry Is Back,EGP 299.00,https://www.jumia.com.eg/essence-hydra-kiss-lip-oil-06-cranberry-is-back-133786808.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/8687331/1.jpg?5201,,
Might Cinema Long Lasting Lip Gloss Magic - 7g,EGP 119.00,https://www.jumia.com.eg/long-lasting-lip-gloss-magic-7g-might-cinema-mpg3799778.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/2939711/1.jpg?8484,4.5 out of 5,
"Amanda Lip Oil With Argan, Jojoba, Avocado Oil, 5ml – 02-Amanda",EGP 225.00,https://www.jumia.com.eg/lip-oil-with-argan-jojoba-avocado-oil-5ml-02-amanda-mpg1153303.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/899046/1.jpg?9133,4.8 out of 5,
Last Look (Last Look) Magic Fruity Lip Oil -2006- Lemon Scent-83,EGP 73.99,https://www.jumia.com.eg/last-look-last-look-magic-fruity-lip-oil-2006-lemon-scent-83-133655711.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/7556331/1.jpg?6630,,
HYDRENSA  LIP BALM,EGP 117.00,https://www.jumia.com.eg/hydrensa-lip-balm-133772067.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/0277331/1.jpg?2042,5 out of 5,
Might Cinema  Lifter Lipstick Shiny Lips - 5081-211,EGP 99.99,https://www.jumia.com.eg/might-cinema-lifter-lipstick-shiny-lips-5081-211-134220749.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/7022431/1.jpg?7952,5 out of 5,
Sandra Lipgloss Gel Moisturizer - Transparent 1 Piece,EGP 90.00,https://www.jumia.com.eg/sandra-lipgloss-gel-moisturizer-transparent-1-piece-127733887.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/8337721/1.jpg?8250,5 out of 5,
KIKO MILANO  Milano lipgloss 21,EGP 628.20,https://www.jumia.com.eg/kiko-milano-milano-lipgloss-21-134161570.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/5161431/1.jpg?8165,,
Lipgloss for Women - 1 Piece,EGP 75.00,https://www.jumia.com.eg/generic-lipgloss-for-women-1-piece-27466693.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/666472/1.jpg?1490,3.7 out of 5,
Avon True Nourishing Lip Oil Shimmering Look,EGP 225.00,https://www.jumia.com.eg/avon-true-nourishing-lip-oil-shimmering-look-49085338.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/358094/1.jpg?9983,4.6 out of 5,
Avon True Nourishing Lip Oil Set (2 Shimmering Look),EGP 409.00,https://www.jumia.com.eg/avon-true-nourishing-lip-oil-set-2-shimmering-look-134061679.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/6160431/1.jpg?3694,,
Essence Extreme shine lip gloss 01,EGP 240.00,https://www.jumia.com.eg/essence-extreme-shine-lip-gloss-01-134095516.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/5590431/1.jpg?5852,,
Might Cinema lip gloss mini 6 pices,EGP 225.00,https://www.jumia.com.eg/might-cinema-lip-gloss-mini-6-pices-133604877.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/8406331/1.jpg?0168,,
Avon Nourishing Lip Oil BLOSSOM (2 PCS) - Ultimate Hydration and Shine,EGP 409.00,https://www.jumia.com.eg/avon-nourishing-lip-oil-blossom-2-pcs-ultimate-hydration-and-shine-130772703.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/7277031/1.jpg?1681,5 out of 5,
SHEGLAM GLAM ICE QUEEN PLUMPING LIP GLOSS - ICE QUEEN,EGP 280.00,https://www.jumia.com.eg/sheglam-glam-ice-queen-plumping-lip-gloss-ice-queen-84824091.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/042848/1.jpg?9060,5 out of 5,
